t_values,xi_values,x_values,v_values
1e-08,-0.0006207525730133057,-0.999913215637207,0.017355870455503464
0.01001002,0.00018227100372314453,-0.9996528625488281,0.03471340611577034
0.02002003,0.0009913146495819092,-0.9992189407348633,0.05207215994596481
0.03003004,0.0018061697483062744,-0.9986113905906677,0.06943169236183167
0.04004005,0.0026271045207977295,-0.9978302717208862,0.08679155260324478
0.05005006,0.003454059362411499,-0.9968755841255188,0.10415130853652954
0.06006007,0.004287302494049072,-0.9957472681999207,0.12151052057743073
0.07007007999999999,0.005126625299453735,-0.9944453835487366,0.13886873424053192
0.08008008999999999,0.005972236394882202,-0.9929699301719666,0.1562255173921585
0.09009009999999999,0.006824135780334473,-0.9913209080696106,0.17358040809631348
0.10010010999999999,0.0076825618743896484,-0.9894983172416687,0.190932959318161
0.11011011999999999,0.008547395467758179,-0.9875022172927856,0.2082827240228653
0.12012012999999999,0.009418666362762451,-0.9853326678276062,0.22562921047210693
0.13013014,0.010296553373336792,-0.9829896688461304,0.24297195672988892
0.14014015,0.011181086301803589,-0.9804732799530029,0.26031047105789185
0.15015015999999998,0.01207229495048523,-0.9777835011482239,0.2776442766189575
0.16016017,0.012970268726348877,-0.974920392036438,0.29497283697128296
0.17017018,0.013875037431716919,-0.9718840718269348,0.3122956156730652
0.18018019,0.014786690473556519,-0.9686745405197144,0.3296121060848236
0.19019019999999998,0.015705257654190063,-0.9652918577194214,0.3469217121601105
0.20020021,0.016630828380584717,-0.9617361426353455,0.3642238676548004
0.21021022,0.017563343048095703,-0.9580073952674866,0.3815179765224457
0.22022023,0.01850295066833496,-0.954105794429779,0.3988034129142761
0.23023023999999997,0.019449710845947266,-0.9500313401222229,0.4160795211791992
0.24024025,0.020403623580932617,-0.9457842111587524,0.43334561586380005
0.25025026,0.021364688873291016,-0.9413644671440125,0.4506010115146637
0.26026027,0.0223330557346344,-0.9367722272872925,0.46784496307373047
0.27027028,0.02330869436264038,-0.9320076107978821,0.4850766956806183
0.28028029,0.0242917537689209,-0.9270707368850708,0.5022954344749451
0.2902903,0.025282055139541626,-0.9219617247581482,0.5195003151893616
0.30030030999999996,0.026279866695404053,-0.9166807532310486,0.5366904139518738
0.31031032,0.02728492021560669,-0.9112279415130615,0.5538648366928101
0.32032033,0.028297603130340576,-0.9056034684181213,0.571022629737854
0.33033034,0.02931767702102661,-0.8998075127601624,0.5881627798080444
0.34034035,0.03034520149230957,-0.8938402533531189,0.6052841544151306
0.35035035999999997,0.031380295753479004,-0.8877018690109253,0.6223856806755066
0.36036037,0.032422930002212524,-0.8813925981521606,0.6394661068916321
0.37037038,0.03347301483154297,-0.8749126195907593,0.6565242409706116
0.38038038999999996,0.03453078866004944,-0.8682621717453003,0.6735587120056152
0.39039039999999997,0.03559595346450806,-0.8614414930343628,0.690568208694458
0.40040041,0.03666877746582031,-0.8544508814811707,0.7075511813163757
0.41041042,0.03774911165237427,-0.847290575504303,0.724506139755249
0.42042043,0.03883698582649231,-0.8399608731269836,0.741431474685669
0.43043043999999997,0.03993239998817444,-0.8324620723724365,0.7583255171775818
0.44044045,0.04103529453277588,-0.8247944712638855,0.7751864194869995
0.45045046,0.042145758867263794,-0.8169584274291992,0.7920123338699341
0.46046046999999996,0.043263524770736694,-0.8089542984962463,0.8088012933731079
0.47047047999999997,0.044388771057128906,-0.8007825016975403,0.8255512118339539
0.48048049,0.045521438121795654,-0.7924433946609497,0.8422598838806152
0.4904905,0.04666149616241455,-0.7839374542236328,0.8589249849319458
0.5005005100000001,0.04780873656272888,-0.7752650380134583,0.8755441308021545
0.5105105200000001,0.048963308334350586,-0.766426682472229,0.8921148180961609
0.5205205300000001,0.05012509226799011,-0.7574228644371033,0.9086343050003052
0.53053054,0.0512939989566803,-0.748254120349884,0.9250998497009277
0.54054055,0.05246990919113159,-0.738921046257019,0.9415085315704346
0.55055056,0.053652822971343994,-0.7294241786003113,0.9578572511672974
0.56056057,0.05484253168106079,-0.7197641134262085,0.9741427898406982
0.57057058,0.056039124727249146,-0.7099415063858032,0.990361750125885
0.5805805900000001,0.05724248290061951,-0.6999570727348328,1.006510615348816
0.5905906000000001,0.05845236778259277,-0.6898115277290344,1.0225857496261597
0.60060061,0.05966871976852417,-0.6795055866241455,1.0385832786560059
0.61061062,0.06089159846305847,-0.6690400838851929,1.0544992685317993
0.62062063,0.06212055683135986,-0.6584158539772034,1.0703294277191162
0.63063064,0.0633557140827179,-0.6476337909698486,1.0860693454742432
0.64064065,0.06459695100784302,-0.6366947889328003,1.1017146110534668
0.65065066,0.06584390997886658,-0.6255998015403748,1.1172603368759155
0.6606606700000001,0.06709659099578857,-0.614349901676178,1.1327016353607178
0.6706706800000001,0.06835481524467468,-0.6029461026191711,1.1480334997177124
0.6806806900000001,0.06961846351623535,-0.5913895964622498,1.1632505655288696
0.6906907,0.07088720798492432,-0.5796815156936646,1.1783473491668701
0.70070071,0.07216092944145203,-0.567823052406311,1.1933181285858154
0.71071072,0.0734395980834961,-0.555815577507019,1.208156943321228
0.72072073,0.07472279667854309,-0.5436604022979736,1.2228578329086304
0.73073074,0.07601046562194824,-0.5313588976860046,1.2374143600463867
0.7407407500000001,0.07730233669281006,-0.5189125537872314,1.2518202066421509
0.7507507600000001,0.07859811186790466,-0.506322979927063,1.2660685777664185
0.76076077,0.07989773154258728,-0.4935917258262634,1.280152678489685
0.77077078,0.08120077848434448,-0.4807204604148865,1.2940654754638672
0.78078079,0.08250728249549866,-0.4677109718322754,1.3077995777130127
0.7907908,0.08381658792495728,-0.45456504821777344,1.321347713470459
0.80080081,0.08512875437736511,-0.4412846267223358,1.3347022533416748
0.81081082,0.0864434540271759,-0.4278716444969177,1.3478554487228394
0.8208208300000001,0.08776029944419861,-0.4143281579017639,1.3607994318008423
0.8308308400000001,0.08907920122146606,-0.4006563127040863,1.3735260963439941
0.8408408500000001,0.09039965271949768,-0.38685834407806396,1.3860273361206055
0.85085086,0.0917215347290039,-0.37293651700019836,1.3982946872711182
0.86086087,0.09304443001747131,-0.3588932156562805,1.4103199243545532
0.87087088,0.09436804056167603,-0.3447309136390686,1.4220943450927734
0.88088089,0.09569215774536133,-0.3304521441459656,1.4336094856262207
0.8908909,0.09701642394065857,-0.31605955958366394,1.4448566436767578
0.90090091,0.09834045171737671,-0.301555871963501,1.455826997756958
0.9109109200000001,0.0996638834476471,-0.2869439125061035,1.4665119647979736
0.92092093,0.10098651051521301,-0.27222657203674316,1.476902723312378
0.93093094,0.10230785608291626,-0.2574068307876587,1.4869904518127441
0.94094095,0.10362768173217773,-0.24248775839805603,1.4967665672302246
0.95095096,0.10494565963745117,-0.22747251391410828,1.5062223672866821
0.96096097,0.1062612533569336,-0.2123643457889557,1.515349268913269
0.97097098,0.10757419466972351,-0.1971665918827057,1.5241386890411377
0.98098099,0.10888415575027466,-0.18188266456127167,1.532582402229309
0.9909910000000001,0.110190749168396,-0.16651606559753418,1.5406720638275146
1.00100101,0.11149352788925171,-0.15107037127017975,1.5483996868133545
1.01101102,0.11279222369194031,-0.13554924726486206,1.5557575225830078
1.02102103,0.11408635973930359,-0.11995642632246017,1.5627378225326538
1.03103104,0.11537566781044006,-0.10429571568965912,1.5693333148956299
1.04104105,0.11665967106819153,-0.08857100456953049,1.575536847114563
1.0510510599999998,0.11793795228004456,-0.07278624922037125,1.5813416242599487
1.0610610699999998,0.11921027302742004,-0.05694546550512314,1.5867412090301514
1.0710710799999998,0.12047609686851501,-0.04105273634195328,1.5917294025421143
1.0810810899999999,0.12173515558242798,-0.025112206116318703,1.596300482749939
1.0910910999999999,0.12298697233200073,-0.00912807323038578,1.6004492044448853
1.1011011099999999,0.12423121929168701,0.006895413622260094,1.6041704416275024
1.11111112,0.12546736001968384,0.022953957319259644,1.6074597835540771
1.12112113,0.12669521570205688,0.03904321789741516,1.6103131771087646
1.13113114,0.127914160490036,0.055158816277980804,1.6127270460128784
1.14114115,0.1291240155696869,0.0712963417172432,1.6146981716156006
1.15115116,0.13032427430152893,0.08745135366916656,1.6162240505218506
1.16116117,0.13151457905769348,0.10361938923597336,1.617302417755127
1.17117118,0.13269472122192383,0.11979596316814423,1.617931842803955
1.18118119,0.1338641345500946,0.13597658276557922,1.6181111335754395
1.1911912,0.13502240180969238,0.1521567404270172,1.6178398132324219
1.2012012099999998,0.13616928458213806,0.16833193600177765,1.6171178817749023
1.2112112199999998,0.13730427622795105,0.1844976544380188,1.615945816040039
1.2212212299999998,0.13842710852622986,0.2006494104862213,1.6143245697021484
1.2312312399999998,0.13953736424446106,0.21678271889686584,1.6122558116912842
1.2412412499999999,0.14063474535942078,0.23289310932159424,1.6097416877746582
1.2512512599999999,0.1417190134525299,0.24897614121437073,1.606784701347351
1.2612612699999999,0.1427895724773407,0.26502740383148193,1.6033879518508911
