t_values,xi_values,x_values,v_values
1e-08,0.0014674365520477295,0.999913215637207,-0.017353618517518044
0.01001002,0.002037554979324341,0.9996529221534729,-0.03470525145530701
0.02002003,0.0026085972785949707,0.9992191195487976,-0.05205442011356354
0.03003004,0.003180563449859619,0.9986118674278259,-0.06940063834190369
0.04004005,0.0037533938884735107,0.9978311657905579,-0.08674342185258865
0.05005006,0.004327178001403809,0.9968770146369934,-0.10408225655555725
0.06006007,0.0049017369747161865,0.9957495331764221,-0.12141664326190948
0.07007007999999999,0.005477190017700195,0.994448721408844,-0.13874603807926178
0.08008008999999999,0.006053507328033447,0.9929746389389038,-0.15606990456581116
0.09009009999999999,0.006630688905715942,0.9913273453712463,-0.17338769137859344
0.10010010999999999,0.007208675146102905,0.9895069003105164,-0.19069881737232208
0.11011011999999999,0.007787495851516724,0.9875133633613586,-0.20800268650054932
0.12012012999999999,0.008367091417312622,0.9853468537330627,-0.225298672914505
0.13013014,0.008947521448135376,0.9830074310302734,-0.242586150765419
0.14014015,0.009528636932373047,0.9804951548576355,-0.2598644495010376
0.15015015999999998,0.010110557079315186,0.9778101444244385,-0.27713286876678467
0.16016017,0.010693222284317017,0.9749525189399719,-0.2943906784057617
0.17017018,0.011276602745056152,0.9719223976135254,-0.31163713335990906
0.18018019,0.011860638856887817,0.9687198400497437,-0.3288714289665222
0.19019019999999998,0.012445420026779175,0.965345025062561,-0.34609273076057434
0.20020021,0.013030767440795898,0.9617980718612671,-0.3633001744747162
0.21021022,0.013616710901260376,0.9580790996551514,-0.3804928660392761
0.22022023,0.01420333981513977,0.9541882872581482,-0.39766982197761536
0.23023023999999997,0.014790475368499756,0.9501257538795471,-0.4148300588130951
0.24024025,0.015378206968307495,0.9458917379379272,-0.4319725036621094
0.25025026,0.015966445207595825,0.9414863586425781,-0.44909605383872986
0.26026027,0.01655513048171997,0.9369098544120789,-0.4661995470523834
0.27027028,0.017144381999969482,0.9321624040603638,-0.4832817316055298
0.28028029,0.017733901739120483,0.927244246006012,-0.5003412961959839
