t_values,xi_values,x_values,v_values
1e-08,4.1961669921875e-05,1.5000133514404297,0.002671521855518222
0.01001002,0.017281293869018555,1.500053882598877,0.005434613209217787
0.02002003,0.03451180458068848,1.5001225471496582,0.008290819823741913
0.03003004,0.05173540115356445,1.5002201795578003,0.01124165765941143
0.04004005,0.0689542293548584,1.5003478527069092,0.014288611710071564
0.05005006,0.08616828918457031,1.5005065202713013,0.01743311621248722
0.06006007,0.10337972640991211,1.5006970167160034,0.020676562562584877
0.07007007999999999,0.1205894947052002,1.5009205341339111,0.02402029186487198
0.08008008999999999,0.13779735565185547,1.5011779069900513,0.027465572580695152
0.09009009999999999,0.15500426292419434,1.5014703273773193,0.03101360984146595
0.10010010999999999,0.1722123622894287,1.5017987489700317,0.0346655435860157
0.11011011999999999,0.1894211769104004,1.5021642446517944,0.03842242434620857
0.12012012999999999,0.20663189888000488,1.5025677680969238,0.04228522256016731
0.13013014,0.2238469123840332,1.5030105113983154,0.046254828572273254
0.14014015,0.24106979370117188,1.5034934282302856,0.05033203959465027
0.15015015999999998,0.2583043575286865,1.50401771068573,0.054517582058906555
0.16016017,0.2755599021911621,1.5045843124389648,0.058812111616134644
0.17017018,0.29285359382629395,1.5051944255828857,0.06321628391742706
0.18018019,0.31021809577941895,1.5058491230010986,0.06773082911968231
0.19019019999999998,0.3277144432067871,1.506549596786499,0.07235675305128098
0.20020021,0.34546828269958496,1.5072969198226929,0.07709574699401855
0.21021022,0.3637423515319824,1.5080921649932861,0.0819510966539383
0.22022023,0.38312339782714844,1.5089365243911743,0.0869298055768013
0.23023023999999997,0.4051220417022705,1.509831428527832,0.09204863011837006
0.24024025,0.43508148193359375,1.5107784271240234,0.09735886752605438
0.25025026,0.5027410984039307,1.5117807388305664,0.1030980721116066
0.26026027,0.6908605098724365,1.5128453969955444,0.10983589291572571
0.27027028,0.8322181701660156,1.513979196548462,0.11692073196172714
0.28028029,0.868323564529419,1.5151838064193726,0.12401057779788971
0.2902903,0.8869318962097168,1.516459345817566,0.1310884654521942
0.30030030999999996,0.9042613506317139,1.517805576324463,0.13814648985862732
0.31031032,0.9215033054351807,1.5192221403121948,0.1451762318611145
0.32032033,0.9387226104736328,1.5207089185714722,0.1521691381931305
0.33033034,0.955923318862915,1.5222653150558472,0.15911656618118286
0.34034035,0.9731152057647705,1.5238909721374512,0.16600976884365082
